rolls1:
0	0	Start	xdim=0	
1	1	Fair	xdim=1	State_Type_x0=F	
2	1	Fair	xdim=1	State_Type_x0=F	
3	1	Fair	xdim=1	State_Type_x0=F	
4	1	Fair	xdim=1	State_Type_x0=F	
5	1	Fair	xdim=1	State_Type_x0=F	
6	1	Fair	xdim=1	State_Type_x0=F	
7	1	Fair	xdim=1	State_Type_x0=F	
8	1	Fair	xdim=1	State_Type_x0=F	
9	1	Fair	xdim=1	State_Type_x0=F	
10	1	Fair	xdim=1	State_Type_x0=F	
11	1	Fair	xdim=1	State_Type_x0=F	
12	1	Fair	xdim=1	State_Type_x0=F	
13	1	Fair	xdim=1	State_Type_x0=F	
14	1	Fair	xdim=1	State_Type_x0=F	
15	1	Fair	xdim=1	State_Type_x0=F	
16	1	Fair	xdim=1	State_Type_x0=F	
17	1	Fair	xdim=1	State_Type_x0=F	
18	1	Fair	xdim=1	State_Type_x0=F	
19	1	Fair	xdim=1	State_Type_x0=F	
20	1	Fair	xdim=1	State_Type_x0=F	
21	1	Fair	xdim=1	State_Type_x0=F	
22	1	Fair	xdim=1	State_Type_x0=F	
23	1	Fair	xdim=1	State_Type_x0=F	
24	1	Fair	xdim=1	State_Type_x0=F	
25	1	Fair	xdim=1	State_Type_x0=F	
26	1	Fair	xdim=1	State_Type_x0=F	
27	1	Fair	xdim=1	State_Type_x0=F	
28	1	Fair	xdim=1	State_Type_x0=F	
29	1	Fair	xdim=1	State_Type_x0=F	
30	1	Fair	xdim=1	State_Type_x0=F	
31	1	Fair	xdim=1	State_Type_x0=F	
32	1	Fair	xdim=1	State_Type_x0=F	
33	1	Fair	xdim=1	State_Type_x0=F	
34	1	Fair	xdim=1	State_Type_x0=F	
35	1	Fair	xdim=1	State_Type_x0=F	
36	1	Fair	xdim=1	State_Type_x0=F	
37	1	Fair	xdim=1	State_Type_x0=F	
38	1	Fair	xdim=1	State_Type_x0=F	
39	1	Fair	xdim=1	State_Type_x0=F	
40	1	Fair	xdim=1	State_Type_x0=F	
41	2	Loaded	xdim=1	State_Type_x0=L	
42	2	Loaded	xdim=1	State_Type_x0=L	
43	2	Loaded	xdim=1	State_Type_x0=L	
